ID,Prompt,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Task Type,Unnamed: 13,Difficulty
680,Explain how database indexing speeds up query performance.,,,,,,,,,,,Explanation,,Medium
681,Design a scalable architecture for a crowdfunding platform.,,,,,,,,,,,Architecture,,Hard
682,Develop an algorithm for finding the shortest path in a weighted graph with negative edges.,,,,,,,,,,,Algorithm,,Hard
683,"Translate ""Take care"" into Polish.",,,,,,,,,,,Translation,,Easy
684,Write a Python program to check if a string starts with a given prefix.,,,,,,,,,,,Coding,,Easy
685,Design a scalable architecture for a peer-to-peer file sharing application.,,,,,,,,,,,Architecture,,Hard
686,What is encryption?,,,,,,,,,,,Factual QA,,Easy
687,What is 58 + 13?,,,,,,,,,,,Mathematics,,Easy
688,Explain the difference between a primary key and a foreign key.,,,,,,,,,,,Factual QA,,Medium
689,Develop an algorithm for solving the traveling salesman problem approximately.,,,,,,,,,,,Algorithm,,Hard
690,What is 129 + 138?,,,,,,,,,,,Mathematics,,Easy
691,"Translate ""I am hungry"" into Thai.",,,,,,,,,,,Translation,,Easy
692,Design an indexing strategy for a database with mixed read and write workloads.,,,,,,,,,,,Database,,Hard
693,Design an ML pipeline for predicting customer churn.,,,,,,,,,,,ML,,Hard
694,Explain how memoization improves performance.,,,,,,,,,,,Explanation,,Medium
695,Design an AI system for automatically triaging incoming customer support tickets.,,,,,,,,,,,AI Architecture,,Hard
696,What is 56 + 11?,,,,,,,,,,,Mathematics,,Easy
697,What is latency?,,,,,,,,,,,Factual QA,,Easy
698,What is 69 + 124?,,,,,,,,,,,Mathematics,,Easy
699,Explain how leader election works in distributed systems.,,,,,,,,,,,Explanation,,Medium
700,What is a certificate authority?,,,,,,,,,,,Factual QA,,Easy
701,Write a Python function to check whether a list is empty.,,,,,,,,,,,Coding,,Easy
702,Develop a strategy for migrating a legacy on-premises system to the cloud.,,,,,,,,,,,Planning,,Hard
703,Write a Python program to detect the longest palindromic substring in a string.,,,,,,,,,,,Coding,,Hard
704,What is 144 - 148?,,,,,,,,,,,Mathematics,,Easy
705,Write a Python program to print the ASCII value of a character.,,,,,,,,,,,Coding,,Easy
706,Design a hybrid search system combining keyword and semantic retrieval for an LLM.,,,,,,,,,,,AI Architecture,,Hard
707,Extract all city names from this travel itinerary.,,,,,,,,,,,Extraction,,Easy
708,Design an A/B test to evaluate whether a new LLM model improves user satisfaction.,,,,,,,,,,,Experimentation,,Hard
709,Explain how consistent hashing distributes data across nodes.,,,,,,,,,,,Explanation,,Medium
710,What is 39 + 109?,,,,,,,,,,,Mathematics,,Easy
711,What is the capital of Jordan?,,,,,,,,,,,Factual QA,,Easy
712,What is the capital of Jamaica?,,,,,,,,,,,Factual QA,,Easy
713,Debug a service experiencing cascading failures during a traffic spike.,,,,,,,,,,,Debugging,,Hard
714,What is middleware?,,,,,,,,,,,Factual QA,,Easy
715,What is a race condition?,,,,,,,,,,,Factual QA,,Easy
716,Solve the inequality 2x + 3 > 7.,,,,,,,,,,,Mathematics,,Medium
717,Explain how two-phase commit works in distributed systems.,,,,,,,,,,,Explanation,,Medium
718,Extract all abbreviations used in this report.,,,,,,,,,,,Extraction,,Easy
719,"Calculate the variance of the dataset [2, 4, 4, 4, 5, 5, 7, 9].",,,,,,,,,,,Mathematics,,Medium
720,Write a Python function to check whether a year is a leap year.,,,,,,,,,,,Coding,,Easy
721,"Calculate the standard deviation of the dataset [3, 7, 7, 19].",,,,,,,,,,,Mathematics,,Medium
722,Compare few-shot and zero-shot prompting strategies for a classification task.,,,,,,,,,,,AI Analysis,,Hard
723,Design a scalable architecture for a logistics and delivery tracking system.,,,,,,,,,,,Architecture,,Hard
724,What is 17 + 146?,,,,,,,,,,,Mathematics,,Easy
725,What is 111 multiplied by 82?,,,,,,,,,,,Mathematics,,Easy
726,Convert 45 degrees Celsius to Fahrenheit.,,,,,,,,,,,Mathematics,,Easy
727,"Translate ""This food is delicious."" into Korean.",,,,,,,,,,,Translation,,Easy
728,Write a Python program to create a list of the first n square numbers.,,,,,,,,,,,Coding,,Easy
729,Summarize this travel brochure in one sentence.,,,,,,,,,,,Summarization,,Medium
730,What is a subnet?,,,,,,,,,,,Factual QA,,Easy
731,Design a scoring rubric for evaluating LLM-generated code quality.,,,,,,,,,,,AI Evaluation,,Hard
732,Design an AI system for automatically generating unit tests from source code.,,,,,,,,,,,AI Architecture,,Hard
733,Summarize a dense scientific paper into a plain-language explanation for non-experts.,,,,,,,,,,,Summarization,,Hard
734,Extract all keywords from this job description.,,,,,,,,,,,Extraction,,Easy
735,Develop a strategy for reducing Docker image build times in a CI pipeline.,,,,,,,,,,,Optimization,,Hard
736,Explain why greedy algorithms don't always produce an optimal solution.,,,,,,,,,,,Reasoning,,Medium
737,What is the capital of Tanzania?,,,,,,,,,,,Factual QA,,Easy
738,Design a scalable architecture for a real-time collaborative whiteboard application.,,,,,,,,,,,Architecture,,Hard
739,Write a Python program to find the lowest common ancestor in a binary tree.,,,,,,,,,,,Coding,,Medium
740,Write a Python program to convert a list to a tuple.,,,,,,,,,,,Coding,,Easy
741,"Write a Python function to check whether a number is positive, negative, or zero.",,,,,,,,,,,Coding,,Easy
742,Design a resilient architecture for a stock market data feed.,,,,,,,,,,,Architecture,,Hard
743,Develop a capacity planning strategy for an application expecting seasonal traffic spikes.,,,,,,,,,,,Planning,,Hard
744,What is a load test?,,,,,,,,,,,Factual QA,,Easy
745,Design a scalable architecture for an online learning platform.,,,,,,,,,,,Architecture,,Hard
746,Explain how database transactions ensure atomicity.,,,,,,,,,,,Explanation,,Medium
747,Explain how OAuth authentication works.,,,,,,,,,,,Explanation,,Medium
748,Develop a strategy for onboarding a new engineering team onto a complex legacy system.,,,,,,,,,,,Planning,,Hard
749,Develop a strategy for reducing cold-start latency in a serverless application.,,,,,,,,,,,Optimization,,Hard
750,Design an LLM-powered assistant for internal engineering documentation search.,,,,,,,,,,,AI Architecture,,Hard
751,Write a Python function to count the number of words in a sentence.,,,,,,,,,,,Coding,,Easy
752,Design an algorithm for real-time deduplication of streaming data.,,,,,,,,,,,Algorithm,,Hard
753,What is the capital of Latvia?,,,,,,,,,,,Factual QA,,Easy
754,Optimize a database schema suffering from excessive normalization overhead.,,,,,,,,,,,Database,,Hard
755,Write a Python program to find the sum of digits of a number.,,,,,,,,,,,Coding,,Easy
756,Design an evaluation methodology for measuring factual accuracy in LLM-generated summaries.,,,,,,,,,,,AI Evaluation,,Hard
757,Prove that quicksort's average-case time complexity is O(n log n).,,,,,,,,,,,Mathematics,,Hard
758,"Translate ""What time does the museum close?"" into Spanish.",,,,,,,,,,,Translation,,Easy
759,What is 216 - 21?,,,,,,,,,,,Mathematics,,Easy
760,Explain how a circuit breaker prevents cascading failures.,,,,,,,,,,,Explanation,,Medium
761,What is 109 - 136?,,,,,,,,,,,Mathematics,,Easy
762,Calculate the future value of a $5000 investment at 4% annual interest compounded monthly for 2 years.,,,,,,,,,,,Mathematics,,Medium
763,Write a Python function to reverse the words in a sentence.,,,,,,,,,,,Coding,,Easy
764,A shirt costs $25. What is the total cost of 4 shirts?,,,,,,,,,,,Mathematics,,Easy
765,Summarize a product launch announcement into two sentences.,,,,,,,,,,,Summarization,,Medium
766,Analyze why a model's offline evaluation metrics don't match production performance.,,,,,,,,,,,ML,,Hard
767,What is 70 + 49?,,,,,,,,,,,Mathematics,,Easy
768,"Translate ""This is a beautiful city."" into Italian.",,,,,,,,,,,Translation,,Easy
769,Develop a strategy for reducing p99 latency in a read-heavy API.,,,,,,,,,,,Optimization,,Hard
770,What is chaos engineering?,,,,,,,,,,,Factual QA,,Easy
771,Compare a message queue and a pub/sub system for decoupling services.,,,,,,,,,,,Analysis,,Medium
772,"Translate ""Do you speak English?"" into Japanese.",,,,,,,,,,,Translation,,Easy
773,Prove that Dijkstra's algorithm does not work correctly with negative edge weights.,,,,,,,,,,,Mathematics,,Hard
774,What is 298 multiplied by 30?,,,,,,,,,,,Mathematics,,Easy
775,Write a Python program to print all Armstrong numbers between 1 and 1000.,,,,,,,,,,,Coding,,Easy
776,"Translate ""What is this called in English?"" into Hindi.",,,,,,,,,,,Translation,,Easy
777,Summarize a lengthy patent filing while preserving its key technical claims.,,,,,,,,,,,Summarization,,Hard
778,Explain how sharding differs from partitioning.,,,,,,,,,,,Explanation,,Medium
779,Design a scalable architecture for an ad-serving platform.,,,,,,,,,,,Architecture,,Hard
780,Summarize this instruction manual page in a single sentence.,,,,,,,,,,,Summarization,,Hard
781,What is 282 + 69?,,,,,,,,,,,Mathematics,,Easy
782,What is a REST endpoint?,,,,,,,,,,,Factual QA,,Easy
783,Write a Python function to compute the nth Fibonacci number iteratively.,,,,,,,,,,,Coding,,Easy
784,Write a Python program to convert an infix expression to postfix.,,,,,,,,,,,Coding,,Medium
785,What is 171 + 267?,,,,,,,,,,,Mathematics,,Easy
786,What is 104 + 211?,,,,,,,,,,,Mathematics,,Easy
787,What is 34 - 70?,,,,,,,,,,,Mathematics,,Easy
788,Analyze a Kotlin Android application for potential UI-thread blocking operations.,,,,,,,,,,,Coding,,Hard
789,Design a scalable architecture for a real-time collaborative code editor.,,,,,,,,,,,Architecture,,Hard
790,Write a Python program to find the total number of digits in a number.,,,,,,,,,,,Coding,,Easy
791,What is a staging environment?,,,,,,,,,,,Factual QA,,Easy
792,What is 260 - 114?,,,,,,,,,,,Mathematics,,Easy
793,Write a Python program to check whether a list is a palindrome.,,,,,,,,,,,Coding,,Easy
794,Explain how a distributed hash table routes lookups.,,,,,,,,,,,Explanation,,Medium
795,What is an observer pattern?,,,,,,,,,,,Factual QA,,Easy
796,What is refactoring?,,,,,,,,,,,Factual QA,,Easy
797,Explain how a content-addressed storage system works.,,,,,,,,,,,Explanation,,Medium
798,"Translate ""I would like a table for two."" into Italian.",,,,,,,,,,,Translation,,Easy
799,Write a Python program to detect whether a linked list is a palindrome.,,,,,,,,,,,Coding,,Medium
800,What is the capital of Monaco?,,,,,,,,,,,Factual QA,,Easy
801,Prove that the greedy algorithm for interval scheduling produces an optimal solution.,,,,,,,,,,,Mathematics,,Hard
802,What is a checksum used for?,,,,,,,,,,,Factual QA,,Easy
803,Write a Python function to check whether a string is numeric.,,,,,,,,,,,Coding,,Easy
804,What is the capital of Maldives?,,,,,,,,,,,Factual QA,,Easy
805,Summarize a customer feedback survey into three key themes.,,,,,,,,,,,Summarization,,Medium
806,What is 183 + 214?,,,,,,,,,,,Mathematics,,Easy
807,Compare white-box and black-box testing approaches.,,,,,,,,,,,Analysis,,Medium
808,"If a train travels 60 km in 1 hour, how far does it travel in 3 hours?",,,,,,,,,,,Mathematics,,Easy
809,"If a book has 320 pages and you read 40 pages a day, how many days will it take to finish?",,,,,,,,,,,Mathematics,,Easy
810,Analyze the trade-offs between synchronous and asynchronous inter-service communication.,,,,,,,,,,,Analysis,,Hard
811,What is a library in programming?,,,,,,,,,,,Factual QA,,Easy
812,Explain how optimistic locking prevents conflicting updates.,,,,,,,,,,,Explanation,,Medium
813,What is 255 + 84?,,,,,,,,,,,Mathematics,,Easy
814,What is a rollback in deployment?,,,,,,,,,,,Factual QA,,Easy
815,Explain why a distributed cache needs an eviction policy.,,,,,,,,,,,Reasoning,,Medium
816,Debug a React application experiencing unnecessary re-renders.,,,,,,,,,,,Coding,,Hard
817,What is 139 - 68?,,,,,,,,,,,Mathematics,,Easy
818,Write a Python program to find the maximum subarray sum using Kadane's algorithm.,,,,,,,,,,,Coding,,Medium
819,What is the capital of San Marino?,,,,,,,,,,,Factual QA,,Easy
820,What is a build artifact?,,,,,,,,,,,Factual QA,,Easy
821,Design a simple database schema for a personal budgeting app.,,,,,,,,,,,Planning,,Medium
822,"Solve the system x+y+z=6, 2x-y+z=3, x+2y-z=2.",,,,,,,,,,,Mathematics,,Medium
823,Compare instruction-tuned and base LLMs for a customer-facing chatbot.,,,,,,,,,,,AI Analysis,,Hard
824,"Translate ""Is this seat taken?"" into Vietnamese.",,,,,,,,,,,Translation,,Easy
825,"Translate ""Can you recommend a good restaurant?"" into Japanese.",,,,,,,,,,,Translation,,Easy
826,Extract all time durations mentioned in this schedule.,,,,,,,,,,,Extraction,,Easy
827,"Reverse the list [1, 2, 3, 4, 5].",,,,,,,,,,,Mathematics,,Easy
828,A car travels 240 km using 20 liters of fuel. What is its fuel efficiency in km per liter?,,,,,,,,,,,Mathematics,,Easy
829,What is regression testing?,,,,,,,,,,,Factual QA,,Easy
830,Compare push-based and pull-based data synchronization for offline-first apps.,,,,,,,,,,,Analysis,,Hard
831,What is 248 + 299?,,,,,,,,,,,Mathematics,,Easy
832,What is 197 + 73?,,,,,,,,,,,Mathematics,,Easy
833,Analyze why a Kubernetes deployment experiences pod restarts under moderate load.,,,,,,,,,,,Debugging,,Hard
834,"Translate ""Where is the nearest hospital?"" into Spanish.",,,,,,,,,,,Translation,,Easy
835,Analyze why a service's error rate spikes right after every deployment.,,,,,,,,,,,Debugging,,Hard
836,Solve for x: log base 2 of x equals 5.,,,,,,,,,,,Mathematics,,Medium
837,What is a stateful service?,,,,,,,,,,,Factual QA,,Easy
838,What is 218 + 27?,,,,,,,,,,,Mathematics,,Easy
839,Explain how sticky sessions affect load balancing.,,,,,,,,,,,Explanation,,Medium
840,"Translate ""What is your job?"" into French.",,,,,,,,,,,Translation,,Easy
841,Summarize this customer complaint in one sentence.,,,,,,,,,,,Summarization,,Medium
842,"Find the difference between the largest and smallest values in [5, 12, 3, 20].",,,,,,,,,,,Mathematics,,Easy
843,"Translate ""I would like to order food."" into Thai.",,,,,,,,,,,Translation,,Easy
844,Design an algorithm for computing top-k frequent items in a data stream.,,,,,,,,,,,Algorithm,,Hard
845,What is 247 multiplied by 188?,,,,,,,,,,,Mathematics,,Easy
846,What is the capital of Honduras?,,,,,,,,,,,Factual QA,,Easy
847,Write a Python program to implement a simple rate limiter.,,,,,,,,,,,Coding,,Medium
848,What is a postmortem in software engineering?,,,,,,,,,,,Factual QA,,Easy
849,Summarize a court case ruling into a plain-language summary.,,,,,,,,,,,Summarization,,Medium
850,What is the capital of Yemen?,,,,,,,,,,,Factual QA,,Easy
851,"Translate ""How much is a taxi to the airport?"" into Portuguese.",,,,,,,,,,,Translation,,Easy
852,Write a Python program to find the number of islands in a 2D grid.,,,,,,,,,,,Coding,,Medium
853,What is 269 - 118?,,,,,,,,,,,Mathematics,,Easy
854,Design a cold-start strategy for a recommendation system with new users.,,,,,,,,,,,ML,,Hard
855,Design a secure secrets management system for a microservices environment.,,,,,,,,,,,Security,,Hard
856,What is a canary deployment?,,,,,,,,,,,Factual QA,,Easy
857,Design a named entity recognition system for financial documents.,,,,,,,,,,,NLP,,Hard
858,What is a service level agreement?,,,,,,,,,,,Factual QA,,Easy
859,What is 141 + 234?,,,,,,,,,,,Mathematics,,Easy
860,What is 107 - 299?,,,,,,,,,,,Mathematics,,Easy
861,Write a Python function to find the second largest number without using max().,,,,,,,,,,,Coding,,Easy
862,What is a bug tracker?,,,,,,,,,,,Factual QA,,Easy
863,What is 200 multiplied by 92?,,,,,,,,,,,Mathematics,,Easy
864,What is 285 + 256?,,,,,,,,,,,Mathematics,,Easy
865,What is 169 - 83?,,,,,,,,,,,Mathematics,,Easy
866,Design an LLM-based system for generating structured data from unstructured text.,,,,,,,,,,,AI Architecture,,Hard
867,What is 116 + 122?,,,,,,,,,,,Mathematics,,Easy
868,What is the capital of Moldova?,,,,,,,,,,,Factual QA,,Easy
869,What is the capital of Samoa?,,,,,,,,,,,Factual QA,,Easy
870,What is 179 - 151?,,,,,,,,,,,Mathematics,,Easy
871,Explain how a semaphore controls concurrent access.,,,,,,,,,,,Explanation,,Medium
872,Write a Python function to check whether a list contains only unique elements.,,,,,,,,,,,Coding,,Easy
873,A rectangular garden is 15 meters long and 8 meters wide. What is its perimeter?,,,,,,,,,,,Mathematics,,Easy
874,What is a sandbox environment?,,,,,,,,,,,Factual QA,,Easy
875,What is a load balancer health check?,,,,,,,,,,,Factual QA,,Easy
876,Explain the difference between optimistic and pessimistic locking.,,,,,,,,,,,Factual QA,,Medium
877,Design a recommendation system that balances relevance and diversity.,,,,,,,,,,,ML,,Hard
878,Write a Python program to convert a tuple to a list.,,,,,,,,,,,Coding,,Easy
879,Explain the difference between authentication and authorization.,,,,,,,,,,,Factual QA,,Medium
880,What is 87 + 100?,,,,,,,,,,,Mathematics,,Easy
881,"Translate ""Nice to meet you."" into Hebrew.",,,,,,,,,,,Translation,,Easy
882,What is the capital of Luxembourg?,,,,,,,,,,,Factual QA,,Easy
883,What is the capital of Fiji?,,,,,,,,,,,Factual QA,,Easy
884,Develop a strategy for deprecating a legacy authentication system without downtime.,,,,,,,,,,,Planning,,Hard
885,What is 260 - 50?,,,,,,,,,,,Mathematics,,Easy
886,Analyze a Python data pipeline for potential bottlenecks under high throughput.,,,,,,,,,,,Coding,,Hard
887,What is the capital of Namibia?,,,,,,,,,,,Factual QA,,Easy
888,Design an experiment to test whether shorter prompts reduce LLM latency without hurting quality.,,,,,,,,,,,Experimentation,,Hard
889,"Find the angle between two vectors (3,4) and (4,3).",,,,,,,,,,,Mathematics,,Medium
890,"Translate ""I need to charge my phone."" into French.",,,,,,,,,,,Translation,,Easy
891,What is a framework in programming?,,,,,,,,,,,Factual QA,,Easy
892,What is 160 + 280?,,,,,,,,,,,Mathematics,,Easy
893,Develop a strategy for consolidating multiple regional databases into one global database.,,,,,,,,,,,Planning,,Hard
894,What is 130 - 271?,,,,,,,,,,,Mathematics,,Easy
895,Write a Python program to print a diamond pattern of stars.,,,,,,,,,,,Coding,,Easy
896,What is 240 - 88?,,,,,,,,,,,Mathematics,,Easy
897,"If a recipe needs 2 cups of flour for 6 servings, how much flour is needed for 12 servings?",,,,,,,,,,,Mathematics,,Easy
898,Write a Python program to compute run-length encoding of a string.,,,,,,,,,,,Coding,,Medium
899,What is 86 - 153?,,,,,,,,,,,Mathematics,,Easy
900,Convert 8 feet to inches.,,,,,,,,,,,Mathematics,,Easy
901,"Find how many numbers in [4, 15, 22, 8, 30] are greater than 10.",,,,,,,,,,,Mathematics,,Easy
902,Design a scalable architecture for a real-time translation service for video calls.,,,,,,,,,,,Architecture,,Hard
903,Write a Python program to implement a simple event emitter.,,,,,,,,,,,Coding,,Medium
904,Develop a strategy for reducing tail latency in a distributed request pipeline.,,,,,,,,,,,Optimization,,Hard
905,What is the capital of Andorra?,,,,,,,,,,,Factual QA,,Easy
906,What is a service level objective?,,,,,,,,,,,Factual QA,,Easy
907,What is the capital of Brunei?,,,,,,,,,,,Factual QA,,Easy
908,What is a feature flag?,,,,,,,,,,,Factual QA,,Easy
909,What is the capital of Bahamas?,,,,,,,,,,,Factual QA,,Easy
910,Analyze a distributed job worker for potential duplicate task execution.,,,,,,,,,,,Coding,,Hard
911,Write a Python program to check whether a list contains duplicate elements.,,,,,,,,,,,Coding,,Easy
912,What is a CLI tool?,,,,,,,,,,,Factual QA,,Easy
913,Write a Python program to find the position of the first vowel in a string.,,,,,,,,,,,Coding,,Easy
914,Design an ML pipeline for predicting customer lifetime value.,,,,,,,,,,,ML,,Hard
915,"Translate ""I would like a coffee."" into German.",,,,,,,,,,,Translation,,Easy
916,What is open-source software?,,,,,,,,,,,Factual QA,,Easy
917,What is 122 + 181?,,,,,,,,,,,Mathematics,,Easy
918,Explain how blue-green deployment minimizes downtime.,,,,,,,,,,,Explanation,,Medium
919,"Translate ""I am allergic to nuts."" into Turkish.",,,,,,,,,,,Translation,,Easy
920,Write a Python program to find the longest increasing subsequence in an array.,,,,,,,,,,,Coding,,Medium
921,What is 284 - 139?,,,,,,,,,,,Mathematics,,Easy
922,What is 187 multiplied by 240?,,,,,,,,,,,Mathematics,,Easy
923,Explain how a producer-consumer pattern works.,,,,,,,,,,,Explanation,,Medium
924,What is horizontal pod autoscaling?,,,,,,,,,,,Factual QA,,Easy
925,What is a package repository?,,,,,,,,,,,Factual QA,,Easy
926,Explain how connection multiplexing works in HTTP/2.,,,,,,,,,,,Explanation,,Medium
927,What is the capital of Turkmenistan?,,,,,,,,,,,Factual QA,,Easy
928,What is 239 multiplied by 145?,,,,,,,,,,,Mathematics,,Easy
929,Write a Python program to check whether a number is a multiple of another.,,,,,,,,,,,Coding,,Easy
930,"Translate ""What is the weather like today?"" into Swedish.",,,,,,,,,,,Translation,,Easy
931,Design a resilient architecture for a global supply chain tracking system.,,,,,,,,,,,Architecture,,Hard
932,Optimize a database schema experiencing lock contention under concurrent writes.,,,,,,,,,,,Database,,Hard
933,Convert 2 metric tons to kilograms.,,,,,,,,,,,Mathematics,,Easy
934,Write a Python program to implement a basic finite state machine.,,,,,,,,,,,Coding,,Medium
935,What is a GUI?,,,,,,,,,,,Factual QA,,Easy
936,What is the capital of Trinidad and Tobago?,,,,,,,,,,,Factual QA,,Easy
937,What is 271 multiplied by 259?,,,,,,,,,,,Mathematics,,Easy
938,"Translate ""Is breakfast included?"" into Dutch.",,,,,,,,,,,Translation,,Easy
939,Design a scalable architecture for a real-time price comparison engine.,,,,,,,,,,,Architecture,,Hard
940,What is 300 multiplied by 86?,,,,,,,,,,,Mathematics,,Easy
941,Summarize this social media post in one sentence.,,,,,,,,,,,Summarization,,Medium
942,What is 40 - 298?,,,,,,,,,,,Mathematics,,Easy
943,What is mean time to recovery?,,,,,,,,,,,Factual QA,,Easy
944,What is a dependency in software?,,,,,,,,,,,Factual QA,,Easy
945,Write a Python program to find all anagram groups in a list of words.,,,,,,,,,,,Coding,,Medium
946,Explain how a publish-subscribe system decouples services.,,,,,,,,,,,Explanation,,Medium
947,"What is 300 divided by 57, rounded to two decimal places?",,,,,,,,,,,Mathematics,,Easy
948,What is 9 + 163?,,,,,,,,,,,Mathematics,,Easy
949,What is 188 - 82?,,,,,,,,,,,Mathematics,,Easy
950,Design a fault-tolerant architecture for a subscription billing system.,,,,,,,,,,,Architecture,,Hard
951,What is a stateless service?,,,,,,,,,,,Factual QA,,Easy
952,Write a Python program to find the sum of the first n natural numbers.,,,,,,,,,,,Coding,,Easy
953,What is 130 - 170?,,,,,,,,,,,Mathematics,,Easy
954,What is the capital of Uzbekistan?,,,,,,,,,,,Factual QA,,Easy
955,What is 180 - 215?,,,,,,,,,,,Mathematics,,Easy
956,What is the capital of Papua New Guinea?,,,,,,,,,,,Factual QA,,Easy
957,What is 271 - 113?,,,,,,,,,,,Mathematics,,Easy
958,What is 106 - 22?,,,,,,,,,,,Mathematics,,Easy
959,"Translate ""What time does it open?"" into Korean.",,,,,,,,,,,Translation,,Easy
960,Compare sharded and replicated database architectures for write-heavy workloads.,,,,,,,,,,,Analysis,,Hard
961,What is the capital of Iraq?,,,,,,,,,,,Factual QA,,Easy
962,What is 116 - 261?,,,,,,,,,,,Mathematics,,Easy
963,Analyze a dataset of infrastructure costs to identify the largest cost drivers.,,,,,,,,,,,Data Analysis,,Hard
964,What is 184 + 235?,,,,,,,,,,,Mathematics,,Easy
965,What is 98 - 224?,,,,,,,,,,,Mathematics,,Easy
966,Explain how a service discovery mechanism works.,,,,,,,,,,,Explanation,,Medium
967,Write a Python function to check whether a number is within a given range.,,,,,,,,,,,Coding,,Easy
968,Explain why a min-heap is more efficient than sorting for finding the k smallest elements.,,,,,,,,,,,Reasoning,,Medium
969,What is 280 + 195?,,,,,,,,,,,Mathematics,,Easy
970,What is 122 - 239?,,,,,,,,,,,Mathematics,,Easy
971,What is the capital of Belarus?,,,,,,,,,,,Factual QA,,Easy
972,Compare thread-based and process-based concurrency models.,,,,,,,,,,,Analysis,,Medium
973,Extract all IP addresses mentioned in this log file.,,,,,,,,,,,Extraction,,Easy
974,What is structured logging?,,,,,,,,,,,Factual QA,,Easy
975,What is pair programming?,,,,,,,,,,,Factual QA,,Easy
976,What is a rolling deployment?,,,,,,,,,,,Factual QA,,Easy
977,What is 16 + 95?,,,,,,,,,,,Mathematics,,Easy
978,Explain the difference between a monolith and a modular monolith.,,,,,,,,,,,Factual QA,,Medium
979,What is 117 multiplied by 57?,,,,,,,,,,,Mathematics,,Easy
980,What is a blue-green deployment?,,,,,,,,,,,Factual QA,,Easy
981,What is a compiler warning?,,,,,,,,,,,Factual QA,,Easy
982,Design a resilient architecture for a decentralized identity verification system.,,,,,,,,,,,Architecture,,Hard
983,What is 53 multiplied by 255?,,,,,,,,,,,Mathematics,,Easy
984,Summarize a 700-word technical blog post into a short abstract.,,,,,,,,,,,Summarization,,Medium
985,What is a code smell?,,,,,,,,,,,Factual QA,,Easy
986,"If 3 workers can build a wall in 12 days, how many days will 6 workers take?",,,,,,,,,,,Mathematics,,Easy
987,What is the capital of Vatican City?,,,,,,,,,,,Factual QA,,Easy
988,What is a stub in testing?,,,,,,,,,,,Factual QA,,Easy
989,"Translate ""I lost my passport."" into Russian.",,,,,,,,,,,Translation,,Easy
990,"Translate ""I would like to book a table."" into Arabic.",,,,,,,,,,,Translation,,Easy
991,What is 59 + 209?,,,,,,,,,,,Mathematics,,Easy
992,Prove that a complete binary tree with n nodes has height O(log n).,,,,,,,,,,,Mathematics,,Hard
993,What is 267 + 201?,,,,,,,,,,,Mathematics,,Easy
994,Design a strategy for handling hot partitions in a sharded database.,,,,,,,,,,,Database,,Hard
995,What is the capital of Bhutan?,,,,,,,,,,,Factual QA,,Easy
996,Summarize a multi-chapter technical manual into a concise reference guide.,,,,,,,,,,,Summarization,,Hard
997,Design an evaluation framework for measuring an LLM's ability to follow complex instructions.,,,,,,,,,,,AI Evaluation,,Hard
998,Write a Python function to trim leading and trailing spaces from a string.,,,,,,,,,,,Coding,,Easy
999,Design a simple database schema for a gym membership system.,,,,,,,,,,,Planning,,Medium
1000,Explain the trade-offs between centralized and decentralized system governance.,,,,,,,,,,,Reasoning,,Hard
1001,What is 73 - 169?,,,,,,,,,,,Mathematics,,Easy
1002,"Translate ""How far is the train station?"" into Finnish.",,,,,,,,,,,Translation,,Easy
1003,Analyze the time complexity of the QuickSelect algorithm.,,,,,,,,,,,Mathematics,,Hard
1004,Analyze the risks of using long-lived API keys instead of short-lived tokens.,,,,,,,,,,,Security,,Hard
1005,What is 35 multiplied by 261?,,,,,,,,,,,Mathematics,,Easy
1006,Design an NLP pipeline for automatically generating meeting summaries from transcripts.,,,,,,,,,,,NLP,,Hard
1007,Design a scalable architecture for a warehouse robotics coordination system.,,,,,,,,,,,Architecture,,Hard
1008,What is the capital of Kyrgyzstan?,,,,,,,,,,,Factual QA,,Easy
1009,What is 84 multiplied by 46?,,,,,,,,,,,Mathematics,,Easy
1010,"Translate ""I am looking for a hotel."" into Portuguese.",,,,,,,,,,,Translation,,Easy
1011,Compare eager and lazy evaluation strategies in programming languages.,,,,,,,,,,,Analysis,,Medium
1012,What is the capital of Haiti?,,,,,,,,,,,Factual QA,,Easy
1013,Write a Python program to remove duplicate characters from a string.,,,,,,,,,,,Coding,,Easy
1014,What is a webhook payload?,,,,,,,,,,,Factual QA,,Easy
1015,Design a fault-tolerant architecture for a healthcare telemetry monitoring system.,,,,,,,,,,,Architecture,,Hard
1016,What is a syntax highlighter?,,,,,,,,,,,Factual QA,,Easy
1017,"Find the sum of the geometric series 2, 6, 18, 54 up to 5 terms.",,,,,,,,,,,Mathematics,,Medium
1018,Design an AI pipeline for detecting anomalies in system logs using an LLM.,,,,,,,,,,,AI Architecture,,Hard
1019,Analyze conflicting priorities between rapid feature delivery and system reliability.,,,,,,,,,,,Reasoning,,Hard
1020,What is the capital of El Salvador?,,,,,,,,,,,Factual QA,,Easy
1021,What is 212 + 31?,,,,,,,,,,,Mathematics,,Easy
1022,What is the capital of Afghanistan?,,,,,,,,,,,Factual QA,,Easy
1023,What is a smoke test?,,,,,,,,,,,Factual QA,,Easy
