ID,Prompt,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Task Type,Unnamed: 13,Difficulty,cluster_id
647,What is the capital of New Zealand?,,,,,,,,,,,Factual QA,,Easy,4
648,What is the capital of Ghana?,,,,,,,,,,,Factual QA,,Easy,4
649,Extract all currency amounts from this invoice.,,,,,,,,,,,Extraction,,Easy,8
650,Write a Python program to implement bubble sort.,,,,,,,,,,,Coding,,Medium,0
651,Summarize this travel itinerary in one sentence.,,,,,,,,,,,Summarization,,Medium,2
652,Design a resilient architecture for a smart home automation platform.,,,,,,,,,,,Architecture,,Hard,7
653,Write a Python function to find the average of a list of numbers.,,,,,,,,,,,Coding,,Easy,0
654,What is an environment variable?,,,,,,,,,,,Factual QA,,Easy,1
655,Design an experiment to measure the impact of prompt engineering on answer accuracy.,,,,,,,,,,,Experimentation,,Hard,5
656,What is a for loop?,,,,,,,,,,,Factual QA,,Easy,1
657,What is 19 + 25?,,,,,,,,,,,Mathematics,,Easy,3
658,Write a Python program to convert a number from decimal to binary.,,,,,,,,,,,Coding,,Easy,0
659,Write a Python program to print a pyramid pattern of numbers.,,,,,,,,,,,Coding,,Easy,0
660,Explain why a balanced binary search tree guarantees O(log n) operations.,,,,,,,,,,,Reasoning,,Medium,6
661,Design an experiment to measure the effect of retrieval-augmented generation on hallucination rates.,,,,,,,,,,,Experimentation,,Hard,5
662,Design an algorithm for computing the minimum spanning tree of a large graph.,,,,,,,,,,,Algorithm,,Hard,7
663,What is 23 multiplied by 38?,,,,,,,,,,,Mathematics,,Easy,3
664,Compare read-through and write-through caching strategies for a database.,,,,,,,,,,,Analysis,,Hard,5
665,What is the capital of Serbia?,,,,,,,,,,,Factual QA,,Easy,4
666,Write a function to find the majority element in an array.,,,,,,,,,,,Coding,,Medium,8
667,Explain how blue-green deployment works.,,,,,,,,,,,Explanation,,Medium,6
668,Explain how a binary heap is implemented.,,,,,,,,,,,Explanation,,Medium,6
669,Compare containerized and virtual-machine-based deployment.,,,,,,,,,,,Analysis,,Medium,7
670,What is continuous integration?,,,,,,,,,,,Factual QA,,Easy,1
671,"Translate ""Congratulations"" into Swedish.",,,,,,,,,,,Translation,,Easy,9
672,Summarize a podcast transcript into the top three insights.,,,,,,,,,,,Summarization,,Medium,2
673,Convert 1000 milligrams to grams.,,,,,,,,,,,Mathematics,,Easy,8
674,Explain how consensus algorithms like Raft work in distributed systems.,,,,,,,,,,,Explanation,,Medium,6
675,What is the capital of Pakistan?,,,,,,,,,,,Factual QA,,Easy,4
676,Develop a migration plan for moving from a relational database to a NoSQL database.,,,,,,,,,,,Planning,,Hard,7
677,What is 19 multiplied by 55?,,,,,,,,,,,Mathematics,,Easy,3
678,"Translate ""I am from the United States."" into Dutch.",,,,,,,,,,,Translation,,Easy,9
679,"Find the product of the elements in [2, 3, 4].",,,,,,,,,,,Mathematics,,Easy,8
680,Explain how database indexing speeds up query performance.,,,,,,,,,,,Explanation,,Medium,6
681,Design a scalable architecture for a crowdfunding platform.,,,,,,,,,,,Architecture,,Hard,7
682,Develop an algorithm for finding the shortest path in a weighted graph with negative edges.,,,,,,,,,,,Algorithm,,Hard,6
683,"Translate ""Take care"" into Polish.",,,,,,,,,,,Translation,,Easy,9
684,Write a Python program to check if a string starts with a given prefix.,,,,,,,,,,,Coding,,Easy,0
685,Design a scalable architecture for a peer-to-peer file sharing application.,,,,,,,,,,,Architecture,,Hard,7
686,What is encryption?,,,,,,,,,,,Factual QA,,Easy,1
687,What is 58 + 13?,,,,,,,,,,,Mathematics,,Easy,3
688,Explain the difference between a primary key and a foreign key.,,,,,,,,,,,Factual QA,,Medium,6
689,Develop an algorithm for solving the traveling salesman problem approximately.,,,,,,,,,,,Algorithm,,Hard,7
690,What is 129 + 138?,,,,,,,,,,,Mathematics,,Easy,3
691,"Translate ""I am hungry"" into Thai.",,,,,,,,,,,Translation,,Easy,9
692,Design an indexing strategy for a database with mixed read and write workloads.,,,,,,,,,,,Database,,Hard,7
693,Design an ML pipeline for predicting customer churn.,,,,,,,,,,,ML,,Hard,7
694,Explain how memoization improves performance.,,,,,,,,,,,Explanation,,Medium,6
695,Design an AI system for automatically triaging incoming customer support tickets.,,,,,,,,,,,AI Architecture,,Hard,7
696,What is 56 + 11?,,,,,,,,,,,Mathematics,,Easy,3
697,What is latency?,,,,,,,,,,,Factual QA,,Easy,1
698,What is 69 + 124?,,,,,,,,,,,Mathematics,,Easy,3
699,Explain how leader election works in distributed systems.,,,,,,,,,,,Explanation,,Medium,6
700,What is a certificate authority?,,,,,,,,,,,Factual QA,,Easy,1
701,Write a Python function to check whether a list is empty.,,,,,,,,,,,Coding,,Easy,0
702,Develop a strategy for migrating a legacy on-premises system to the cloud.,,,,,,,,,,,Planning,,Hard,7
703,Write a Python program to detect the longest palindromic substring in a string.,,,,,,,,,,,Coding,,Hard,0
704,What is 144 - 148?,,,,,,,,,,,Mathematics,,Easy,3
705,Write a Python program to print the ASCII value of a character.,,,,,,,,,,,Coding,,Easy,0
706,Design a hybrid search system combining keyword and semantic retrieval for an LLM.,,,,,,,,,,,AI Architecture,,Hard,7
707,Extract all city names from this travel itinerary.,,,,,,,,,,,Extraction,,Easy,2
708,Design an A/B test to evaluate whether a new LLM model improves user satisfaction.,,,,,,,,,,,Experimentation,,Hard,5
709,Explain how consistent hashing distributes data across nodes.,,,,,,,,,,,Explanation,,Medium,6
710,What is 39 + 109?,,,,,,,,,,,Mathematics,,Easy,3
711,What is the capital of Jordan?,,,,,,,,,,,Factual QA,,Easy,4
712,What is the capital of Jamaica?,,,,,,,,,,,Factual QA,,Easy,4
713,Debug a service experiencing cascading failures during a traffic spike.,,,,,,,,,,,Debugging,,Hard,5
714,What is middleware?,,,,,,,,,,,Factual QA,,Easy,1
715,What is a race condition?,,,,,,,,,,,Factual QA,,Easy,1
716,Solve the inequality 2x + 3 > 7.,,,,,,,,,,,Mathematics,,Medium,8
717,Explain how two-phase commit works in distributed systems.,,,,,,,,,,,Explanation,,Medium,6
718,Extract all abbreviations used in this report.,,,,,,,,,,,Extraction,,Easy,2
719,"Calculate the variance of the dataset [2, 4, 4, 4, 5, 5, 7, 9].",,,,,,,,,,,Mathematics,,Medium,8
720,Write a Python function to check whether a year is a leap year.,,,,,,,,,,,Coding,,Easy,0
721,"Calculate the standard deviation of the dataset [3, 7, 7, 19].",,,,,,,,,,,Mathematics,,Medium,8
722,Compare few-shot and zero-shot prompting strategies for a classification task.,,,,,,,,,,,AI Analysis,,Hard,5
723,Design a scalable architecture for a logistics and delivery tracking system.,,,,,,,,,,,Architecture,,Hard,7
724,What is 17 + 146?,,,,,,,,,,,Mathematics,,Easy,3
725,What is 111 multiplied by 82?,,,,,,,,,,,Mathematics,,Easy,3
726,Convert 45 degrees Celsius to Fahrenheit.,,,,,,,,,,,Mathematics,,Easy,8
727,"Translate ""This food is delicious."" into Korean.",,,,,,,,,,,Translation,,Easy,9
728,Write a Python program to create a list of the first n square numbers.,,,,,,,,,,,Coding,,Easy,0
729,Summarize this travel brochure in one sentence.,,,,,,,,,,,Summarization,,Medium,2
730,What is a subnet?,,,,,,,,,,,Factual QA,,Easy,1
731,Design a scoring rubric for evaluating LLM-generated code quality.,,,,,,,,,,,AI Evaluation,,Hard,5
732,Design an AI system for automatically generating unit tests from source code.,,,,,,,,,,,AI Architecture,,Hard,5
733,Summarize a dense scientific paper into a plain-language explanation for non-experts.,,,,,,,,,,,Summarization,,Hard,2
734,Extract all keywords from this job description.,,,,,,,,,,,Extraction,,Easy,2
735,Develop a strategy for reducing Docker image build times in a CI pipeline.,,,,,,,,,,,Optimization,,Hard,7
736,Explain why greedy algorithms don't always produce an optimal solution.,,,,,,,,,,,Reasoning,,Medium,6
737,What is the capital of Tanzania?,,,,,,,,,,,Factual QA,,Easy,4
738,Design a scalable architecture for a real-time collaborative whiteboard application.,,,,,,,,,,,Architecture,,Hard,7
739,Write a Python program to find the lowest common ancestor in a binary tree.,,,,,,,,,,,Coding,,Medium,0
740,Write a Python program to convert a list to a tuple.,,,,,,,,,,,Coding,,Easy,0
741,"Write a Python function to check whether a number is positive, negative, or zero.",,,,,,,,,,,Coding,,Easy,0
742,Design a resilient architecture for a stock market data feed.,,,,,,,,,,,Architecture,,Hard,7
743,Develop a capacity planning strategy for an application expecting seasonal traffic spikes.,,,,,,,,,,,Planning,,Hard,7
744,What is a load test?,,,,,,,,,,,Factual QA,,Easy,1
745,Design a scalable architecture for an online learning platform.,,,,,,,,,,,Architecture,,Hard,7
746,Explain how database transactions ensure atomicity.,,,,,,,,,,,Explanation,,Medium,6
747,Explain how OAuth authentication works.,,,,,,,,,,,Explanation,,Medium,6
748,Develop a strategy for onboarding a new engineering team onto a complex legacy system.,,,,,,,,,,,Planning,,Hard,7
749,Develop a strategy for reducing cold-start latency in a serverless application.,,,,,,,,,,,Optimization,,Hard,5
750,Design an LLM-powered assistant for internal engineering documentation search.,,,,,,,,,,,AI Architecture,,Hard,2
751,Write a Python function to count the number of words in a sentence.,,,,,,,,,,,Coding,,Easy,0
752,Design an algorithm for real-time deduplication of streaming data.,,,,,,,,,,,Algorithm,,Hard,7
753,What is the capital of Latvia?,,,,,,,,,,,Factual QA,,Easy,4
754,Optimize a database schema suffering from excessive normalization overhead.,,,,,,,,,,,Database,,Hard,7
755,Write a Python program to find the sum of digits of a number.,,,,,,,,,,,Coding,,Easy,0
756,Design an evaluation methodology for measuring factual accuracy in LLM-generated summaries.,,,,,,,,,,,AI Evaluation,,Hard,2
757,Prove that quicksort's average-case time complexity is O(n log n).,,,,,,,,,,,Mathematics,,Hard,6
758,"Translate ""What time does the museum close?"" into Spanish.",,,,,,,,,,,Translation,,Easy,9
759,What is 216 - 21?,,,,,,,,,,,Mathematics,,Easy,3
760,Explain how a circuit breaker prevents cascading failures.,,,,,,,,,,,Explanation,,Medium,6
761,What is 109 - 136?,,,,,,,,,,,Mathematics,,Easy,3
762,Calculate the future value of a $5000 investment at 4% annual interest compounded monthly for 2 years.,,,,,,,,,,,Mathematics,,Medium,8
763,Write a Python function to reverse the words in a sentence.,,,,,,,,,,,Coding,,Easy,0
764,A shirt costs $25. What is the total cost of 4 shirts?,,,,,,,,,,,Mathematics,,Easy,8
765,Summarize a product launch announcement into two sentences.,,,,,,,,,,,Summarization,,Medium,2
766,Analyze why a model's offline evaluation metrics don't match production performance.,,,,,,,,,,,ML,,Hard,5
767,What is 70 + 49?,,,,,,,,,,,Mathematics,,Easy,3
768,"Translate ""This is a beautiful city."" into Italian.",,,,,,,,,,,Translation,,Easy,9
769,Develop a strategy for reducing p99 latency in a read-heavy API.,,,,,,,,,,,Optimization,,Hard,5
770,What is chaos engineering?,,,,,,,,,,,Factual QA,,Easy,1
771,Compare a message queue and a pub/sub system for decoupling services.,,,,,,,,,,,Analysis,,Medium,6
772,"Translate ""Do you speak English?"" into Japanese.",,,,,,,,,,,Translation,,Easy,9
773,Prove that Dijkstra's algorithm does not work correctly with negative edge weights.,,,,,,,,,,,Mathematics,,Hard,6
774,What is 298 multiplied by 30?,,,,,,,,,,,Mathematics,,Easy,3
775,Write a Python program to print all Armstrong numbers between 1 and 1000.,,,,,,,,,,,Coding,,Easy,0
776,"Translate ""What is this called in English?"" into Hindi.",,,,,,,,,,,Translation,,Easy,9
777,Summarize a lengthy patent filing while preserving its key technical claims.,,,,,,,,,,,Summarization,,Hard,2
778,Explain how sharding differs from partitioning.,,,,,,,,,,,Explanation,,Medium,6
779,Design a scalable architecture for an ad-serving platform.,,,,,,,,,,,Architecture,,Hard,7
780,Summarize this instruction manual page in a single sentence.,,,,,,,,,,,Summarization,,Hard,2
781,What is 282 + 69?,,,,,,,,,,,Mathematics,,Easy,3
782,What is a REST endpoint?,,,,,,,,,,,Factual QA,,Easy,1
783,Write a Python function to compute the nth Fibonacci number iteratively.,,,,,,,,,,,Coding,,Easy,0
784,Write a Python program to convert an infix expression to postfix.,,,,,,,,,,,Coding,,Medium,0
785,What is 171 + 267?,,,,,,,,,,,Mathematics,,Easy,3
786,What is 104 + 211?,,,,,,,,,,,Mathematics,,Easy,3
787,What is 34 - 70?,,,,,,,,,,,Mathematics,,Easy,3
788,Analyze a Kotlin Android application for potential UI-thread blocking operations.,,,,,,,,,,,Coding,,Hard,5
789,Design a scalable architecture for a real-time collaborative code editor.,,,,,,,,,,,Architecture,,Hard,7
790,Write a Python program to find the total number of digits in a number.,,,,,,,,,,,Coding,,Easy,0
791,What is a staging environment?,,,,,,,,,,,Factual QA,,Easy,1
792,What is 260 - 114?,,,,,,,,,,,Mathematics,,Easy,3
793,Write a Python program to check whether a list is a palindrome.,,,,,,,,,,,Coding,,Easy,0
794,Explain how a distributed hash table routes lookups.,,,,,,,,,,,Explanation,,Medium,6
795,What is an observer pattern?,,,,,,,,,,,Factual QA,,Easy,1
796,What is refactoring?,,,,,,,,,,,Factual QA,,Easy,1
797,Explain how a content-addressed storage system works.,,,,,,,,,,,Explanation,,Medium,6
798,"Translate ""I would like a table for two."" into Italian.",,,,,,,,,,,Translation,,Easy,9
799,Write a Python program to detect whether a linked list is a palindrome.,,,,,,,,,,,Coding,,Medium,0
800,What is the capital of Monaco?,,,,,,,,,,,Factual QA,,Easy,4
801,Prove that the greedy algorithm for interval scheduling produces an optimal solution.,,,,,,,,,,,Mathematics,,Hard,7
802,What is a checksum used for?,,,,,,,,,,,Factual QA,,Easy,1
803,Write a Python function to check whether a string is numeric.,,,,,,,,,,,Coding,,Easy,0
804,What is the capital of Maldives?,,,,,,,,,,,Factual QA,,Easy,4
805,Summarize a customer feedback survey into three key themes.,,,,,,,,,,,Summarization,,Medium,2
806,What is 183 + 214?,,,,,,,,,,,Mathematics,,Easy,3
807,Compare white-box and black-box testing approaches.,,,,,,,,,,,Analysis,,Medium,5
808,"If a train travels 60 km in 1 hour, how far does it travel in 3 hours?",,,,,,,,,,,Mathematics,,Easy,8
809,"If a book has 320 pages and you read 40 pages a day, how many days will it take to finish?",,,,,,,,,,,Mathematics,,Easy,8
810,Analyze the trade-offs between synchronous and asynchronous inter-service communication.,,,,,,,,,,,Analysis,,Hard,5
811,What is a library in programming?,,,,,,,,,,,Factual QA,,Easy,1
812,Explain how optimistic locking prevents conflicting updates.,,,,,,,,,,,Explanation,,Medium,6
813,What is 255 + 84?,,,,,,,,,,,Mathematics,,Easy,3
814,What is a rollback in deployment?,,,,,,,,,,,Factual QA,,Easy,1
815,Explain why a distributed cache needs an eviction policy.,,,,,,,,,,,Reasoning,,Medium,6
816,Debug a React application experiencing unnecessary re-renders.,,,,,,,,,,,Coding,,Hard,5
817,What is 139 - 68?,,,,,,,,,,,Mathematics,,Easy,3
818,Write a Python program to find the maximum subarray sum using Kadane's algorithm.,,,,,,,,,,,Coding,,Medium,0
819,What is the capital of San Marino?,,,,,,,,,,,Factual QA,,Easy,4
820,What is a build artifact?,,,,,,,,,,,Factual QA,,Easy,1
821,Design a simple database schema for a personal budgeting app.,,,,,,,,,,,Planning,,Medium,7
822,"Solve the system x+y+z=6, 2x-y+z=3, x+2y-z=2.",,,,,,,,,,,Mathematics,,Medium,8
823,Compare instruction-tuned and base LLMs for a customer-facing chatbot.,,,,,,,,,,,AI Analysis,,Hard,5
824,"Translate ""Is this seat taken?"" into Vietnamese.",,,,,,,,,,,Translation,,Easy,9
825,"Translate ""Can you recommend a good restaurant?"" into Japanese.",,,,,,,,,,,Translation,,Easy,9
826,Extract all time durations mentioned in this schedule.,,,,,,,,,,,Extraction,,Easy,2
827,"Reverse the list [1, 2, 3, 4, 5].",,,,,,,,,,,Mathematics,,Easy,8
828,A car travels 240 km using 20 liters of fuel. What is its fuel efficiency in km per liter?,,,,,,,,,,,Mathematics,,Easy,8
829,What is regression testing?,,,,,,,,,,,Factual QA,,Easy,1
830,Compare push-based and pull-based data synchronization for offline-first apps.,,,,,,,,,,,Analysis,,Hard,5
831,What is 248 + 299?,,,,,,,,,,,Mathematics,,Easy,3
832,What is 197 + 73?,,,,,,,,,,,Mathematics,,Easy,3
833,Analyze why a Kubernetes deployment experiences pod restarts under moderate load.,,,,,,,,,,,Debugging,,Hard,5
834,"Translate ""Where is the nearest hospital?"" into Spanish.",,,,,,,,,,,Translation,,Easy,9
835,Analyze why a service's error rate spikes right after every deployment.,,,,,,,,,,,Debugging,,Hard,5
836,Solve for x: log base 2 of x equals 5.,,,,,,,,,,,Mathematics,,Medium,8
837,What is a stateful service?,,,,,,,,,,,Factual QA,,Easy,1
838,What is 218 + 27?,,,,,,,,,,,Mathematics,,Easy,3
839,Explain how sticky sessions affect load balancing.,,,,,,,,,,,Explanation,,Medium,6
840,"Translate ""What is your job?"" into French.",,,,,,,,,,,Translation,,Easy,9
841,Summarize this customer complaint in one sentence.,,,,,,,,,,,Summarization,,Medium,2
842,"Find the difference between the largest and smallest values in [5, 12, 3, 20].",,,,,,,,,,,Mathematics,,Easy,8
843,"Translate ""I would like to order food."" into Thai.",,,,,,,,,,,Translation,,Easy,9
844,Design an algorithm for computing top-k frequent items in a data stream.,,,,,,,,,,,Algorithm,,Hard,7
845,What is 247 multiplied by 188?,,,,,,,,,,,Mathematics,,Easy,3
846,What is the capital of Honduras?,,,,,,,,,,,Factual QA,,Easy,4
847,Write a Python program to implement a simple rate limiter.,,,,,,,,,,,Coding,,Medium,0
848,What is a postmortem in software engineering?,,,,,,,,,,,Factual QA,,Easy,1
849,Summarize a court case ruling into a plain-language summary.,,,,,,,,,,,Summarization,,Medium,2
850,What is the capital of Yemen?,,,,,,,,,,,Factual QA,,Easy,4
851,"Translate ""How much is a taxi to the airport?"" into Portuguese.",,,,,,,,,,,Translation,,Easy,9
852,Write a Python program to find the number of islands in a 2D grid.,,,,,,,,,,,Coding,,Medium,0
853,What is 269 - 118?,,,,,,,,,,,Mathematics,,Easy,3
854,Design a cold-start strategy for a recommendation system with new users.,,,,,,,,,,,ML,,Hard,7
855,Design a secure secrets management system for a microservices environment.,,,,,,,,,,,Security,,Hard,7
856,What is a canary deployment?,,,,,,,,,,,Factual QA,,Easy,1
857,Design a named entity recognition system for financial documents.,,,,,,,,,,,NLP,,Hard,2
858,What is a service level agreement?,,,,,,,,,,,Factual QA,,Easy,1
859,What is 141 + 234?,,,,,,,,,,,Mathematics,,Easy,3
860,What is 107 - 299?,,,,,,,,,,,Mathematics,,Easy,3
861,Write a Python function to find the second largest number without using max().,,,,,,,,,,,Coding,,Easy,0
862,What is a bug tracker?,,,,,,,,,,,Factual QA,,Easy,1
863,What is 200 multiplied by 92?,,,,,,,,,,,Mathematics,,Easy,3
864,What is 285 + 256?,,,,,,,,,,,Mathematics,,Easy,3
865,What is 169 - 83?,,,,,,,,,,,Mathematics,,Easy,3
866,Design an LLM-based system for generating structured data from unstructured text.,,,,,,,,,,,AI Architecture,,Hard,2
867,What is 116 + 122?,,,,,,,,,,,Mathematics,,Easy,3
868,What is the capital of Moldova?,,,,,,,,,,,Factual QA,,Easy,4
869,What is the capital of Samoa?,,,,,,,,,,,Factual QA,,Easy,4
870,What is 179 - 151?,,,,,,,,,,,Mathematics,,Easy,3
871,Explain how a semaphore controls concurrent access.,,,,,,,,,,,Explanation,,Medium,6
872,Write a Python function to check whether a list contains only unique elements.,,,,,,,,,,,Coding,,Easy,0
873,A rectangular garden is 15 meters long and 8 meters wide. What is its perimeter?,,,,,,,,,,,Mathematics,,Easy,8
874,What is a sandbox environment?,,,,,,,,,,,Factual QA,,Easy,1
875,What is a load balancer health check?,,,,,,,,,,,Factual QA,,Easy,1
876,Explain the difference between optimistic and pessimistic locking.,,,,,,,,,,,Factual QA,,Medium,6
877,Design a recommendation system that balances relevance and diversity.,,,,,,,,,,,ML,,Hard,7
878,Write a Python program to convert a tuple to a list.,,,,,,,,,,,Coding,,Easy,0
879,Explain the difference between authentication and authorization.,,,,,,,,,,,Factual QA,,Medium,6
880,What is 87 + 100?,,,,,,,,,,,Mathematics,,Easy,3
881,"Translate ""Nice to meet you."" into Hebrew.",,,,,,,,,,,Translation,,Easy,9
882,What is the capital of Luxembourg?,,,,,,,,,,,Factual QA,,Easy,4
883,What is the capital of Fiji?,,,,,,,,,,,Factual QA,,Easy,4
884,Develop a strategy for deprecating a legacy authentication system without downtime.,,,,,,,,,,,Planning,,Hard,7
885,What is 260 - 50?,,,,,,,,,,,Mathematics,,Easy,3
886,Analyze a Python data pipeline for potential bottlenecks under high throughput.,,,,,,,,,,,Coding,,Hard,5
887,What is the capital of Namibia?,,,,,,,,,,,Factual QA,,Easy,4
888,Design an experiment to test whether shorter prompts reduce LLM latency without hurting quality.,,,,,,,,,,,Experimentation,,Hard,5
889,"Find the angle between two vectors (3,4) and (4,3).",,,,,,,,,,,Mathematics,,Medium,8
890,"Translate ""I need to charge my phone."" into French.",,,,,,,,,,,Translation,,Easy,9
891,What is a framework in programming?,,,,,,,,,,,Factual QA,,Easy,1
892,What is 160 + 280?,,,,,,,,,,,Mathematics,,Easy,3
893,Develop a strategy for consolidating multiple regional databases into one global database.,,,,,,,,,,,Planning,,Hard,7
894,What is 130 - 271?,,,,,,,,,,,Mathematics,,Easy,3
895,Write a Python program to print a diamond pattern of stars.,,,,,,,,,,,Coding,,Easy,0
896,What is 240 - 88?,,,,,,,,,,,Mathematics,,Easy,3
897,"If a recipe needs 2 cups of flour for 6 servings, how much flour is needed for 12 servings?",,,,,,,,,,,Mathematics,,Easy,8
898,Write a Python program to compute run-length encoding of a string.,,,,,,,,,,,Coding,,Medium,0
899,What is 86 - 153?,,,,,,,,,,,Mathematics,,Easy,3
900,Convert 8 feet to inches.,,,,,,,,,,,Mathematics,,Easy,8
901,"Find how many numbers in [4, 15, 22, 8, 30] are greater than 10.",,,,,,,,,,,Mathematics,,Easy,8
902,Design a scalable architecture for a real-time translation service for video calls.,,,,,,,,,,,Architecture,,Hard,7
903,Write a Python program to implement a simple event emitter.,,,,,,,,,,,Coding,,Medium,0
904,Develop a strategy for reducing tail latency in a distributed request pipeline.,,,,,,,,,,,Optimization,,Hard,7
905,What is the capital of Andorra?,,,,,,,,,,,Factual QA,,Easy,4
906,What is a service level objective?,,,,,,,,,,,Factual QA,,Easy,1
907,What is the capital of Brunei?,,,,,,,,,,,Factual QA,,Easy,4
908,What is a feature flag?,,,,,,,,,,,Factual QA,,Easy,1
909,What is the capital of Bahamas?,,,,,,,,,,,Factual QA,,Easy,4
910,Analyze a distributed job worker for potential duplicate task execution.,,,,,,,,,,,Coding,,Hard,5
911,Write a Python program to check whether a list contains duplicate elements.,,,,,,,,,,,Coding,,Easy,0
912,What is a CLI tool?,,,,,,,,,,,Factual QA,,Easy,1
913,Write a Python program to find the position of the first vowel in a string.,,,,,,,,,,,Coding,,Easy,0
914,Design an ML pipeline for predicting customer lifetime value.,,,,,,,,,,,ML,,Hard,7
915,"Translate ""I would like a coffee."" into German.",,,,,,,,,,,Translation,,Easy,9
916,What is open-source software?,,,,,,,,,,,Factual QA,,Easy,1
917,What is 122 + 181?,,,,,,,,,,,Mathematics,,Easy,3
918,Explain how blue-green deployment minimizes downtime.,,,,,,,,,,,Explanation,,Medium,6
919,"Translate ""I am allergic to nuts."" into Turkish.",,,,,,,,,,,Translation,,Easy,9
920,Write a Python program to find the longest increasing subsequence in an array.,,,,,,,,,,,Coding,,Medium,0
921,What is 284 - 139?,,,,,,,,,,,Mathematics,,Easy,3
922,What is 187 multiplied by 240?,,,,,,,,,,,Mathematics,,Easy,3
923,Explain how a producer-consumer pattern works.,,,,,,,,,,,Explanation,,Medium,6
924,What is horizontal pod autoscaling?,,,,,,,,,,,Factual QA,,Easy,1
925,What is a package repository?,,,,,,,,,,,Factual QA,,Easy,1
926,Explain how connection multiplexing works in HTTP/2.,,,,,,,,,,,Explanation,,Medium,6
927,What is the capital of Turkmenistan?,,,,,,,,,,,Factual QA,,Easy,4
928,What is 239 multiplied by 145?,,,,,,,,,,,Mathematics,,Easy,3
929,Write a Python program to check whether a number is a multiple of another.,,,,,,,,,,,Coding,,Easy,0
930,"Translate ""What is the weather like today?"" into Swedish.",,,,,,,,,,,Translation,,Easy,9
931,Design a resilient architecture for a global supply chain tracking system.,,,,,,,,,,,Architecture,,Hard,7
932,Optimize a database schema experiencing lock contention under concurrent writes.,,,,,,,,,,,Database,,Hard,5
933,Convert 2 metric tons to kilograms.,,,,,,,,,,,Mathematics,,Easy,8
934,Write a Python program to implement a basic finite state machine.,,,,,,,,,,,Coding,,Medium,0
935,What is a GUI?,,,,,,,,,,,Factual QA,,Easy,1
936,What is the capital of Trinidad and Tobago?,,,,,,,,,,,Factual QA,,Easy,4
937,What is 271 multiplied by 259?,,,,,,,,,,,Mathematics,,Easy,3
938,"Translate ""Is breakfast included?"" into Dutch.",,,,,,,,,,,Translation,,Easy,9
939,Design a scalable architecture for a real-time price comparison engine.,,,,,,,,,,,Architecture,,Hard,7
940,What is 300 multiplied by 86?,,,,,,,,,,,Mathematics,,Easy,3
941,Summarize this social media post in one sentence.,,,,,,,,,,,Summarization,,Medium,2
942,What is 40 - 298?,,,,,,,,,,,Mathematics,,Easy,3
943,What is mean time to recovery?,,,,,,,,,,,Factual QA,,Easy,1
944,What is a dependency in software?,,,,,,,,,,,Factual QA,,Easy,1
945,Write a Python program to find all anagram groups in a list of words.,,,,,,,,,,,Coding,,Medium,0
946,Explain how a publish-subscribe system decouples services.,,,,,,,,,,,Explanation,,Medium,6
947,"What is 300 divided by 57, rounded to two decimal places?",,,,,,,,,,,Mathematics,,Easy,3
948,What is 9 + 163?,,,,,,,,,,,Mathematics,,Easy,3
949,What is 188 - 82?,,,,,,,,,,,Mathematics,,Easy,3
950,Design a fault-tolerant architecture for a subscription billing system.,,,,,,,,,,,Architecture,,Hard,7
951,What is a stateless service?,,,,,,,,,,,Factual QA,,Easy,1
952,Write a Python program to find the sum of the first n natural numbers.,,,,,,,,,,,Coding,,Easy,0
953,What is 130 - 170?,,,,,,,,,,,Mathematics,,Easy,3
954,What is the capital of Uzbekistan?,,,,,,,,,,,Factual QA,,Easy,4
955,What is 180 - 215?,,,,,,,,,,,Mathematics,,Easy,3
956,What is the capital of Papua New Guinea?,,,,,,,,,,,Factual QA,,Easy,4
957,What is 271 - 113?,,,,,,,,,,,Mathematics,,Easy,3
958,What is 106 - 22?,,,,,,,,,,,Mathematics,,Easy,3
959,"Translate ""What time does it open?"" into Korean.",,,,,,,,,,,Translation,,Easy,9
960,Compare sharded and replicated database architectures for write-heavy workloads.,,,,,,,,,,,Analysis,,Hard,7
961,What is the capital of Iraq?,,,,,,,,,,,Factual QA,,Easy,4
962,What is 116 - 261?,,,,,,,,,,,Mathematics,,Easy,3
963,Analyze a dataset of infrastructure costs to identify the largest cost drivers.,,,,,,,,,,,Data Analysis,,Hard,7
964,What is 184 + 235?,,,,,,,,,,,Mathematics,,Easy,3
965,What is 98 - 224?,,,,,,,,,,,Mathematics,,Easy,3
966,Explain how a service discovery mechanism works.,,,,,,,,,,,Explanation,,Medium,6
967,Write a Python function to check whether a number is within a given range.,,,,,,,,,,,Coding,,Easy,0
968,Explain why a min-heap is more efficient than sorting for finding the k smallest elements.,,,,,,,,,,,Reasoning,,Medium,6
969,What is 280 + 195?,,,,,,,,,,,Mathematics,,Easy,3
970,What is 122 - 239?,,,,,,,,,,,Mathematics,,Easy,3
971,What is the capital of Belarus?,,,,,,,,,,,Factual QA,,Easy,4
972,Compare thread-based and process-based concurrency models.,,,,,,,,,,,Analysis,,Medium,5
973,Extract all IP addresses mentioned in this log file.,,,,,,,,,,,Extraction,,Easy,8
974,What is structured logging?,,,,,,,,,,,Factual QA,,Easy,1
975,What is pair programming?,,,,,,,,,,,Factual QA,,Easy,1
